#        a       HoverH0(a)       dlogHdloga_of_a(a)
   7.9515213E-04   2.8631587E+04   -1.6503017E+00
   7.9882422E-04   2.8414737E+04   -1.6498175E+00
   8.0251328E-04   2.8199593E+04   -1.6493342E+00
   8.0621937E-04   2.7986140E+04   -1.6488517E+00
   8.0994257E-04   2.7774365E+04   -1.6483702E+00
   8.1368297E-04   2.7564253E+04   -1.6478895E+00
   8.1744065E-04   2.7355791E+04   -1.6474098E+00
   8.2121567E-04   2.7148966E+04   -1.6469309E+00
   8.2500813E-04   2.6943764E+04   -1.6464530E+00
   8.2881811E-04   2.6740171E+04   -1.6459760E+00
   8.3264567E-04   2.6538175E+04   -1.6454999E+00
   8.3649092E-04   2.6337763E+04   -1.6450247E+00
   8.4035392E-04   2.6138922E+04   -1.6445504E+00
   8.4423476E-04   2.5941638E+04   -1.6440770E+00
   8.4813353E-04   2.5745900E+04   -1.6436046E+00
   8.5205030E-04   2.5551694E+04   -1.6431330E+00
   8.5598516E-04   2.5359008E+04   -1.6426624E+00
   8.5993818E-04   2.5167829E+04   -1.6421928E+00
   8.6390947E-04   2.4978146E+04   -1.6417240E+00
   8.6789909E-04   2.4789945E+04   -1.6412562E+00
   8.7190714E-04   2.4603216E+04   -1.6407893E+00
   8.7593370E-04   2.4417946E+04   -1.6403234E+00
   8.7997885E-04   2.4234123E+04   -1.6398584E+00
   8.8404269E-04   2.4051735E+04   -1.6393944E+00
   8.8812529E-04   2.3870771E+04   -1.6389312E+00
   8.9222675E-04   2.3691219E+04   -1.6384691E+00
   8.9634714E-04   2.3513068E+04   -1.6380078E+00
